gene	locus tag	accession number (protein_id)	description	reference	source	class
clbI		CAJ76291	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbH		CAJ76292	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbG		CAJ76293	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbF		CAJ76294	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbE		CAJ76295	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbD		CAJ76296	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbC		CAJ76297	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbB		CAJ76298	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbR		CAJ76299	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbA		CAJ76300	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
cnf1		CAA50007	cytotoxic necrotizing factor 1, deamidase	Escherichia coli E-B35	VFDB R3	Toxin
cnf2		AAA18229	cytotoxic necrotizing factor 2, deamidase	Escherichia coli S5	VFDB R3	Toxin
cnf3		CAK19001	cytotoxic necrotizing factor 3, deamidase	Escherichia coli O153:H11 C48a	VFDB R3	Toxin
eltA		YP_003293997	heat-labile enterotoxin LTI, ADP-ribosyltransferase	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Toxin
eltB		YP_003293996	heat-labile enterotoxin LTI, ADP-ribosyltransferase	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Toxin
eltA-II		AAA24093	heat-labile enterotoxin LTII, ADP-ribosyltransferase	Escherichia coli	VFDB R3	Toxin
eltB-II		AAA24094	heat-labile enterotoxin LTII, ADP-ribosyltransferase	Escherichia coli	VFDB R3	Toxin
estIa		YP_003294006	heat-stable enterotoxin ST-Ia, guanylyl cyclase; sta1	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Toxin
estIb		AAA23990	heat-stable enterotoxin ST-Ib, guanylyl cyclase; sta2	Escherichia coli	VFDB R3	Toxin
hlyC	pO157p17		alpha-hemolysin, RTX-toxin; ehxC	Escherichia coli O157:H7 Sakai plasmid pO157 (EHEC)	VFDB R2	Toxin
hlyA	pO157p18		alpha-hemolysin, RTX-toxin; ehxA	Escherichia coli O157:H7 Sakai plasmid pO157 (EHEC)	VFDB R2	Toxin
hlyB	pO157p19		alpha-hemolysin, RTX-toxin; ehxB	Escherichia coli O157:H7 Sakai plasmid pO157 (EHEC)	VFDB R2	Toxin
hlyD	pO157p20		alpha-hemolysin, RTX-toxin; ehxD	Escherichia coli O157:H7 Sakai plasmid pO157 (EHEC)	VFDB R2	Toxin
hlyC	ECP_3826	YP_671698	alpha-hemolysin, RTX-toxin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Toxin
hlyA	ECP_3827	YP_671699	alpha-hemolysin, RTX-toxin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Toxin
hlyB	ECP_3828	YP_671700	alpha-hemolysin, RTX-toxin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Toxin
hlyD	ECP_3829	YP_671701	alpha-hemolysin, RTX-toxin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Toxin
hlyE	b1182		hemolysin E/cytolysin A, alpha-helix-PFT (pore forming toxins); clyA	Escherichia coli K-12 MG1655 (NPEC)	VFDB R3	Toxin
hlyF	APECO1_O1CoBM189	YP_001481345	putative avian hemolysin	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Toxin
mchX		CAD56168	microcin H47	Escherichia coli CA46	manually	Toxin
mchI		CAD56169	microcin H47 immunity protein	Escherichia coli CA46	manually	Toxin
mchB		CAD56170	microcin H47 activity protein	Escherichia coli CA46	manually	Toxin
mchC		CAD56171	microcin H47	Escherichia coli CA46	manually	Toxin
mchD		CAD56172	microcin H47	Escherichia coli CA46	manually	Toxin
mchE		CAD56173	microcin H47	Escherichia coli CA46	manually	Toxin
mchF		CAD56174	microcin H47	Escherichia coli CA46	manually	Toxin
mcmI		CAD56175	microcin M immunity protein	Escherichia coli CA46	manually	Toxin
mcmA		CAD56176	microcin M	Escherichia coli CA46	manually	Toxin
mcmM		CAD56177	microcin M activity protein	Escherichia coli CA46	manually	Toxin
senB	UTI89_P030	YP_538629	enterotoxin TieB protein	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Toxin
stcE	Z_L7031	AAC70099	secreted metalloprotease, surface-acting enzyme	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Toxin
stx1A	Z3343		shiga toxin 1 (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Toxin
stx1B	Z3344		shiga toxin 1 (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Toxin
stx1cA		CAC85553	shiga toxin 1c (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O128:H2 3115/97	VFDB R3	Toxin
stx1cB		CAC85554	shiga toxin 1c (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O128:H2 3115/97	VFDB R3	Toxin
stx2A	Z1464		shiga toxin 2 (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Toxin
stx2B	Z1465		shiga toxin 2 (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Toxin
stx2cA		ABU55302	shiga toxin 2c (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O177:NM 06-5121	VFDB R3	Toxin
stx2cB		ABU55303	shiga toxin 2c (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O177:NM 06-5121	VFDB R3	Toxin
stx2dA		AAM88302	shiga toxin 2d (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O91:H21 B2F1	VFDB R3	Toxin
stx2dB		AAM88303	shiga toxin 2d (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O91:H21 B2F1	VFDB R3	Toxin
stx2eA		BAE86851	shiga toxin 2e (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli ngsk-EC2e	VFDB R3	Toxin
stx2eB		BAE86852	shiga toxin 2e (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli ngsk-EC2e	VFDB R3	Toxin
stx2fA		BAE79483	shiga toxin 2f (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O63:NM ngsk02014	VFDB R3	Toxin
stx2fB		BAE79484	shiga toxin 2f (aka verotoxin, verocytotoxin, shiga-like toxin), RNA N-glycosidase	Escherichia coli O63:NM ngsk02014	VFDB R3	Toxin
usp	ECP_0113		colicin-like Usp protein	Escherichia coli O6:K15:H31 536 (UPEC)	VFDB R2	Toxin
bfpA	E2348_P1_003		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpG	E2348_P1_004		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpB	E2348_P1_005		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpC	E2348_P1_006		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpU	E2348_P1_007		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpD	E2348_P1_008		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpE	E2348_P1_009		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpF	E2348_P1_010		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpP	E2348_P1_011		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpH	E2348_P1_012		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpI	E2348_P1_013		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpJ	E2348_P1_014		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpK	E2348_P1_015		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
bfpL	E2348_P1_016		bundle-forming pili	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Type_4_pilus
cofR		BAB62894	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofS		BAB62895	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofT		BAB62896	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofA		BAB62897	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofB		BAB62898	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofC		BAB62899	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofD		BAB62900	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofE		BAB62901	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofF		BAB62902	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofG		BAB62903	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofH		BAB62904	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofI		BAB62905	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofJ		BAB62906	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
cofP		BAB62907	colonization factor antigen III (CFA/III), coli surface antigen CS8	Escherichia coli 260-1	VFDB R3	Type_4_pilus
lngX1		ABU50035	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngR		ABU50036	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngS		ABU50037	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngT		ABU50038	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngX2		ABU50039	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngA		ABU50040	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngB		ABU50041	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngC		ABU50042	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngD		ABU50043	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngE		ABU50044	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngF		ABU50045	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngG		ABU50046	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngH		ABU50047	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngI		ABU50048	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngJ		ABU50049	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
lngP		ABU50050	longus pili, coli surface antigen CS20	Escherichia coli O8:H9 E9034A (ETEC)	VFDB R3	Type_4_pilus
etsA	APECO1_O1CoBM197	YP_001481352	ABC transporter	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Other_virulence_gene
etsB	APECO1_O1CoBM198	YP_001481353	ABC transporter	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Other_virulence_gene
etsC	APECO1_O1CoBM199	YP_001481354	ABC transporter	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Other_virulence_gene
